example_id,customer_tweet_id,customer_text,support_text,customer_time,support_time,intent,should_escalate,escalation_reason
G011,469396,某アニメのDVD-BOXをAmazonで購入手続きしました。予算をケチるために中古DVDを選択しました。何を買ったかは、届いてからのお楽しみ…,@226778 Amazonをご利用いただきありがとうございます🙇　お届けまで少々お待ちくださいませ─=≡Σ((((っ’ヮ’c)　SM,Fri Dec 01 07:01:50 +0000 2017,Fri Dec 01 07:14:00 +0000 2017,I10_general_information,NO,None — safe to handle
G012,1268304,@AmazonHelp The one item shipped from China! Seller claims we chose standard.  Why would we voluntarily take a slower shipping when prime is free?,"@416962 Hi Greg! Terribly sorry for the shipping issues, but we'd like to help! Give us a ring or chat here:  https://t.co/hApLpMlfHN ^JD",Fri Oct 20 13:11:00 +0000 2017,Fri Oct 20 13:18:30 +0000 2017,I11_other_unclear,NO,None — safe to handle
G013,2500709,"@AmazonHelp Danke, ich versuchs mal.",@713400 Wir haben deine E-Mail erhalten und melden uns bei dir. ^DS,Wed Nov 15 20:52:49 +0000 2017,Wed Nov 15 20:58:09 +0000 2017,I11_other_unclear,NO,None — safe to handle
G014,1203375,@115821  is bs my order was supposed to be here yesterday and they extended my expectation date until the 19th wth,@402700 I'm sorry for the delay. We want to make sure you receive your package. Please keep us posted on the delivery for the 19th. ^JF,Sun Oct 15 22:20:34 +0000 2017,Sun Oct 15 22:28:33 +0000 2017,I01_order_delivery,NO,None — safe to handle
G015,836845,@AmazonHelp Prime is advertised as next day. I’ve historically had weekend delivery from you. @117795  still delivers in under 2 hours!,@282388 I'm afraid we don't have access to account details here Jonathan. ^KM,Fri Oct 13 10:21:12 +0000 2017,Fri Oct 13 10:40:28 +0000 2017,I08_prime_subscription,NO,None — safe to handle
G016,911231,@115821 why did y'all delay the delivery date of my package omg,@218391 I'm sorry for the delay. Have you received a new delivery date? Did you receive an e-mail regarding the delay? AH,Sat Oct 21 06:16:03 +0000 2017,Sat Oct 21 06:48:55 +0000 2017,I01_order_delivery,NO,None — safe to handle
G017,2488528,@115821 How are the winners decided?,@710675 Winners will be selected by a random draw. We wish you the best of luck.:) ^GD,Wed Nov 15 16:14:49 +0000 2017,Wed Nov 15 16:55:00 +0000 2017,I10_general_information,NO,None — safe to handle
G018,1266302,"@AmazonHelp Checked with @416512, there's no way to turn the subtitles off, so when watching with headphones? A truly annoying experience!","@416511 Apologies, I understand. I have taken a feedback about this and passed it on to the concerned team. Do keep us posted. ^HA",Tue Aug 01 11:14:26 +0000 2017,Tue Aug 01 11:45:00 +0000 2017,I10_general_information,NO,None — safe to handle
G019,1258196,@115850 I m happy because the 1 st time product of amazon recived in my smallest village today https://t.co/FfDj0Ivm4f,@414825 We'll try delivering the order as soon as possible. 2/2 ^EM,Mon Oct 16 04:51:45 +0000 2017,Mon Oct 16 05:11:00 +0000 2017,I10_general_information,NO,None — safe to handle
G020,717631,"@115850 order 403-7687017-1505112 not delivered. Delivery boy lied, no one contacted me. I don't have product, can't cancel. Money lost.",@291834 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. (2/2) ^HD,Wed Oct 11 00:49:43 +0000 2017,Wed Oct 11 00:55:00 +0000 2017,I02_missing_package,YES,Complex issue requiring human intervention
G021,674323,@AmazonHelp The team picked up the return package. Thank you!,"@280818 You're welcome, I'm sure as soon as the product return to us, the refund will be issued. ^SI",Thu Nov 23 09:05:36 +0000 2017,Thu Nov 23 10:04:00 +0000 2017,I03_return,NO,None — safe to handle
G022,2718459,"@115850 ORDER # 403-0276244-3459531 your automated call  comes to informm that u can pay by net banking or by card at delivery time and delivery guy ask only ""CASH"" what a nonsense service","@242308 Payment for COD orders with prepaid methods at the time of delivery, depends on the availability of the Mpos machine with the courier in your area. However, I'll share your feedback internally to the relevant team. Appreciate your understanding. 1/2 ^EM",Mon Nov 20 07:51:36 +0000 2017,Mon Nov 20 08:25:29 +0000 2017,I06_payment_billing,NO,None — safe to handle
G023,1756782,@AmazonHelp My delivery was supposed to be here between 4-6pm Yesterday. It’s been over 24 hours already and still nothing. Really bad first experience. Hope I get this by tomorrow if not I rather cancel and go to Walmart.,@528962 I'm sorry it hasn't arrived! Have we sent you any updates on the delay? You can check here: https://t.co/vn48CPje9H ^EA,Thu Nov 09 01:29:12 +0000 2017,Thu Nov 09 01:34:00 +0000 2017,I01_order_delivery,NO,None — safe to handle
G024,917010,@AmazonHelp Replied please check,"@337704 We've sent a correspondence to your registered account, request you to check. ^MA",Sun Oct 29 18:10:10 +0000 2017,Sun Oct 29 18:21:00 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G025,1387200,"@AmazonHelp I'll expect contact by this evening at the latest, as per the 12 hour promise on the two forms I have completed. I'd still like to make a proper complaint though and would like to know how I do this without more delay and let down. Thanks.",@442775 You will be able to raise this with the agent whom you will be speaking too. ^SA,Mon Nov 20 08:15:29 +0000 2017,Mon Nov 20 08:23:32 +0000 2017,I11_other_unclear,YES,Explicit human request
G026,2308090,Bro. I ordered something from Amazon and forgot to change the adress and it shipped to my house in Jersey...hdjsksnspwlwjslowjslekee dndbdndn,"@669514 We'd like to help! When you have a moment, please reach out to us here so we can go over available options with you: https://t.co/vdivkaIgUA ^CL",Mon Nov 13 01:50:40 +0000 2017,Mon Nov 13 01:57:27 +0000 2017,I09_cancellation_modification,YES,Complex issue requiring human intervention
G027,1502886,@115830 really?? Is this huge box appropriate to send me my teeny weeny earring backs? An envelope will do next time! https://t.co/gDR5tH16uf,"@468818 Thanks for sharing this with us! When you have the time, please leave feedback for our Packing team: https://t.co/LLUvvFvFFR ^RA",Fri Nov 03 15:51:35 +0000 2017,Fri Nov 03 15:55:00 +0000 2017,I10_general_information,NO,None — safe to handle
G028,249765,@115850 Thanks for acknowledgement of my issue. I have given detail on link provided.,"@175368 You're welcome. If you've shared your details, we'll reach out to you soon. ^MK",Tue Oct 03 16:10:49 +0000 2017,Tue Oct 03 16:50:23 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G029,1670311,@AmazonHelp are your delivery drivers allowed to just enter my house without permission @35946 really quite angry about this.,"@508483 Hi, please fill out this form: https://t.co/tkLCr7DNil so a member of our team can look into this for you. ^JJ",Mon Nov 06 12:42:41 +0000 2017,Mon Nov 06 12:45:00 +0000 2017,I11_other_unclear,YES,Complex issue requiring human intervention
G030,1996319,@AmazonHelp プライムビデオたのしいよ、ありがとうね,@590300 お楽しみいただけているようで何よりです♪ いつもご利用ありがとうございます！ RI,Sun Nov 26 10:59:18 +0000 2017,Sun Nov 26 11:08:30 +0000 2017,I08_prime_subscription,NO,None — safe to handle
G031,815575,"@AmazonHelp I have checked, just annoyed that I'm paying for Prime &amp; my package is late. My order's been out for delivery since 10:30 yesterday morning. https://t.co/AntsGAxO5i","@314209 I'm sorry to hear that, its not what we want you to experience, contact us here: https://t.co/JzP7hlA23B for more info ^AS",Wed Nov 08 10:35:46 +0000 2017,Wed Nov 08 10:39:00 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G032,348211,@AmazonHelp @18069 @115851 @118702 Worst service.,@198902 for improvements so that such instances will never repeat. 2/2 ^MJ,Mon Oct 09 06:04:16 +0000 2017,Mon Oct 09 06:31:25 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G033,1526897,@AmazonHelp I have the latest version of the application available in play store.  But the your voice option is not there,"@474144 Hey, Nigel! The ""Your Voice"" feature is not currently available in the UK. ^LA",Fri Nov 03 22:09:21 +0000 2017,Fri Nov 03 23:24:00 +0000 2017,I10_general_information,NO,None — safe to handle
G034,2686393,@AmazonHelp Just changed over to prime video,"@755452 We're unable to view your account via Twitter. For available options, please reach out to us here: https://t.co/hApLpMlfHN ^AB",Sun Nov 19 13:57:07 +0000 2017,Sun Nov 19 14:00:13 +0000 2017,I08_prime_subscription,NO,None — safe to handle
G035,649644,@115821 trying to buy this watch and the order doesn’t go through so i wait till i get home to order and it goes up in price by £85. Just been on phone for 20mins to customer support and they haven’t helped at all. Please tell me why this? https://t.co/Mi6GlAT7Qr,@274429 Deal of the Day items are only available for a limited time. More info here: https://t.co/xoRbfqxts9 ^BA,Wed Nov 22 21:08:29 +0000 2017,Wed Nov 22 21:19:27 +0000 2017,I10_general_information,YES,Complex issue requiring human intervention
G036,295888,@AmazonHelp Amazon,@186466 Please get in touch with us here: https://t.co/JzP7hlA23B at your convenience and we'll discuss available options. ^LB,Fri Oct 06 19:25:55 +0000 2017,Fri Oct 06 19:34:27 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G037,1733094,@AmazonHelp Still same. https://t.co/yudhg0rUuF,@523481 I'm sorry for the wait! We'd love to look into this with you. Please call or chat with us here: https://t.co/hApLpMlfHN ^MH,Tue Nov 07 14:12:26 +0000 2017,Tue Nov 07 14:17:32 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G038,447214,@AmazonHelp Alors c'est TNT livraison.,@220939 Veuillez remplir le formulaire sur le lien suivant afin que je puisse vérifier votre dossier de plus près je vous prie: https://t.co/HtUowg2UGX ^BR,Thu Nov 30 20:05:15 +0000 2017,Thu Nov 30 20:23:26 +0000 2017,I11_other_unclear,NO,None — safe to handle
G039,2824028,"@AmazonHelp I already filled the form and i want my money refunded either today or tomorrow. I don't care how you will do that. Otherwise i will file a complaint against you that you for doing fraud with customers.
@115850 @115821 https://t.co/moviRCARcy","@786837 Thank you for sharing the details, Yashwant. We're working on it and we'll get back to you soon with an appropriate resolution. ^SY",Mon Nov 27 10:34:01 +0000 2017,Mon Nov 27 10:54:00 +0000 2017,I04_refund,YES,Sensitive account/payment issue
G040,29500,@AmazonHelp Of course I have!,"@122485 Hi, did we provide a time line for when you should expect an update? ^TS",Wed Nov 01 11:23:13 +0000 2017,Wed Nov 01 11:25:09 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G041,156810,@AmazonHelp @152011 DEAR AMAZONE FIND THE ORDER NO.-403-79045985510732 WHAT IS ISSUE ABOUT PARCEL RETURN TO UR END AND CONTAIN MOBILE IS REC AT UR LOACTION . IN YOUR WAREHOUSE TOTALLY THIEF AND LYING STAFF.WHERE IS MY MOBILE???HOW MANY DAYS MY MOBILE GET IT BACK ON ARGENT BASIS.,@152012 We apologize for the inconvenience regarding the order. We'd like to take a closer look into this issue. Kindly drop your details here: https://t.co/beaaDm0muc and we’ll contact you soon. 1/2 ^BV,Sun Dec 03 10:19:21 +0000 2017,Sun Dec 03 10:55:28 +0000 2017,I03_return,YES,Complex issue requiring human intervention
G042,1539228,@AmazonHelp have a good weekend,"@148387 Thank you so much, Josh! You have a great weekend as well! 😍 ^ML",Sat Nov 04 01:48:06 +0000 2017,Sat Nov 04 01:57:00 +0000 2017,I11_other_unclear,NO,None — safe to handle
G043,2960422,"@115821 filed a police report for the fake laptop you sent me and forwarded the copy of the report per your instructions... Get an email back calling the report ""invalid"". Guess the Columbus OH Police Department is fake too... #Amazon #fail","@794703 For security purposes, we're unable to view accounts via Twitter but we'd like to help! Please contact us here: https://t.co/hApLpMlfHN via phone or chart for assistance. ^KH",Wed Nov 29 20:24:02 +0000 2017,Wed Nov 29 20:58:01 +0000 2017,I05_wrong_damaged_item,YES,Complex issue requiring human intervention
G044,427310,@AmazonHelp @115850 this is the third time its happening your delivery agents are not responding and even the customer service is worst.,@216640 I’d like to understand this better. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest ^RW,Tue Oct 10 13:02:33 +0000 2017,Tue Oct 10 13:13:27 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G045,2176564,@AmazonHelp Per ordered the #XboxOneX Scorpio back on 20th Aug &amp; it still not been delivered although been promised it will be here yesterday &amp; today. It's just got good enough. I had a failed delivery today to a work address even though it's a manned reception and Otter parcels made it,@638008 Sorry you have not received your package. Who is the carrier delivering? Have you reached out to them for further insight on the delivery? Please keep us posted on the insight they provide. ^AX,Thu Nov 09 16:01:34 +0000 2017,Thu Nov 09 16:07:36 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G046,1496042,@116090 r u thinking us fool.I am waiting for my order from 15 days and still waiting for ur answer...,@467343 I'm sorry for the delay! We'd like to help! What does your latest tracking show here? https://t.co/PyACxvY8Qo ^TK,Fri Nov 03 11:30:30 +0000 2017,Fri Nov 03 12:00:28 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G047,1096768,@AmazonHelp @115850 @AmazonHelp @115850 should've ordered from @118702,@378808 Sorry for the trouble with your order. Kindly share your details here: https://t.co/GIJyeYqKE0 and we'll look into it. (1/2)^SQ,Sun Oct 15 18:22:40 +0000 2017,Sun Oct 15 18:38:00 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G048,324169,"@115817 @115821 Yeah it’s ok. UPS driver on my route must have a problem with me for some reason.  I don’t know why, all I do is pay his salary.",@193222 We're can always submit your feedback to our delivery team for review. Just send us an e-mail here: https://t.co/hApLpMlfHN ^KP,Sat Oct 07 15:16:24 +0000 2017,Sat Oct 07 15:24:33 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G049,929632,"@AmazonHelp &gt; option for the call ever, ever ending. I'm now very upset and angry. Since your staff won't tell me - how do I make a formal complaint?","@134059 Our team would like to take a closer look, and make sure your concerns are escalated, via this link: https://t.co/fWWGG25Kpj ^JR",Fri Oct 13 22:13:18 +0000 2017,Fri Oct 13 22:23:00 +0000 2017,I11_other_unclear,YES,Explicit human request
G050,89108,@AmazonHelp And I'm on the phone with you guys right now. :),@135279 Thanks for letting us know. Please keep us updated with the outcome. ^LI,Thu Nov 30 16:52:36 +0000 2017,Thu Nov 30 17:04:01 +0000 2017,I01_order_delivery,NO,None — safe to handle
G051,472484,"@AmazonHelp @133260 Compre el lunes un regalo para el viernes con el premium (que en teoria tarda 1 dia), y hoy, VIERNES, aun no ha llegado y ni siquiera se si va llegar hoy o el año que viene. Num seg:UX58R6__credit_card__E","@227515 Hola Pau, ¿Provenía directamente de Amazon o de un vendedor Marketplace?¿Cuál fue la fecha de entrega que se te dio?¿Era entrega garantizada o estimada? ^JD",Fri Dec 01 08:55:32 +0000 2017,Fri Dec 01 09:02:28 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G052,1714276,My new phone cases didn’t come today like they were SUPPOSED TO @115821 so now I’m crying in the club,@519124 I'm sorry for the delay! What does the latest tracking scan show here: https://t.co/Y5jpI9gRhE? ^AR,Tue Nov 07 02:57:08 +0000 2017,Tue Nov 07 03:10:00 +0000 2017,I01_order_delivery,NO,None — safe to handle
G053,2265595,"@AmazonHelp Hi again, I just opened up the Amazon app and it showed the same thing again about revising my payment method, it keeps happening for the same item too.",@659473 At this point I have to suggest that you contact us here:  https://t.co/JzP7hlA23B as we are not able to see or access personal information in Twitter. ^TL,Sat Nov 11 04:56:18 +0000 2017,Sat Nov 11 05:10:30 +0000 2017,I06_payment_billing,YES,Sensitive account/payment issue
G054,1540510,"@AmazonHelp Thanks for the reply. I tried this once , the guy told me over the call that it will be fixed in 1hr on Thursday. But yet to happen.","@477433 That's odd, we'd like to get this checked, please share your details here: https://t.co/cllwXc2HeK. We'll look into it. ^PS",Sat Nov 04 02:17:42 +0000 2017,Sat Nov 04 02:49:00 +0000 2017,I11_other_unclear,YES,Complex issue requiring human intervention
G055,755034,Je cherche un contact chez @120533 ? En mp,@300481 En quoi puis-je vous aider ? ^SN,Wed Oct 11 17:57:52 +0000 2017,Wed Oct 11 18:03:00 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G056,2031057,"@AmazonHelp your locker in Perivale, #AmazonHarp is still not working. When will you fix this? It still seems to be taking deliveries https://t.co/vj3Ue2rmaf",@371963 Oh no! Let's talk about this in real time. Please call or chat with us here: https://t.co/N9xgQ6NMAo ^BA,Thu Nov 02 22:28:20 +0000 2017,Thu Nov 02 22:40:03 +0000 2017,I10_general_information,YES,Complex issue requiring human intervention
G057,2484002,"@115850 Order id is 408-6158338-6870754

Want the product before the delivery date.

Kindly Help.","@497678 All the packages are shipped on time so that it reaches you by estimated delivery date. We cannot assure the delivery before the delivery date provided to you. Appreciate your understanding. Please don't provide your order details, (1/2) ^GD",Wed Nov 15 15:17:43 +0000 2017,Wed Nov 15 15:35:00 +0000 2017,I01_order_delivery,NO,None — safe to handle
G058,457760,@116313 1冊目はすでにボロボロになってしまったので！ https://t.co/0HQ9n17vwj,@223707 |ω・).｡oO( ・・・！すごい！） SK,Fri Dec 01 00:33:06 +0000 2017,Fri Dec 01 00:39:32 +0000 2017,I05_wrong_damaged_item,NO,None — safe to handle
G059,304615,"@AmazonHelp Someone placed order on Amazon with ""From &amp; To"" name of my friend and delivery address same as sender n recipient.","@188734 I understand the mix-up. However, we'll not be able to check your information here. So kindly report it to our 1/3^SC",Sat Nov 04 04:24:19 +0000 2017,Sat Nov 04 04:36:00 +0000 2017,I07_account,YES,Sensitive account/payment issue
G060,1665804,@AmazonHelp Still nothing yet.,"@507530 Thanks for the update Matt, have you logged out and back in to see if it stays the same? ^JJ",Mon Nov 06 16:11:46 +0000 2017,Mon Nov 06 16:16:38 +0000 2017,I07_account,NO,Low-confidence or unclear request
G061,856605,@AmazonHelp I would really like to know if I should just expect more four day turn arounds in the future for Prime.,"@323424 Beth, sometimes unexpected delays can occur, please keep us posted on the delivery for Monday. ^SY",Fri Oct 20 16:41:00 +0000 2017,Fri Oct 20 19:09:00 +0000 2017,I01_order_delivery,NO,None — safe to handle
G062,802381,@115850 terrible customer care experience today.... Rude and ill mannered executives and supervisors. They don't really help the customer.,@311199 Please drop in your details here: https://t.co/QKRidRtHp5 and I'll contact you soon.2/2 ^HS,Thu Oct 12 16:00:19 +0000 2017,Thu Oct 12 16:21:26 +0000 2017,I11_other_unclear,YES,Complex issue requiring human intervention
G063,723311,@AmazonHelp Any reason why I haven’t received my packages yet?,@293202 I'm sorry for the wait! What was the delivery date confirmed via e-mail? Are there any updates in the tracking? ^SB,Wed Oct 11 02:38:28 +0000 2017,Wed Oct 11 03:00:49 +0000 2017,I01_order_delivery,NO,None — safe to handle
G064,80750,"@4774 sold an iPhone to a buyer who requested return &amp; returned phone with different IMEI. Apple confirmed the phone was not the same, and had also been tampered with. @115821 is taking the buyer’s side. I’m out $600! What can I do? What are my rights? @AmazonHelp","@133915 Hi, have you reported this directly to our seller support team, if so what has been advised?^SM",Thu Nov 30 12:58:18 +0000 2017,Thu Nov 30 13:10:30 +0000 2017,I05_wrong_damaged_item,YES,Complex issue requiring human intervention
G065,2675964,When u order 2 items for next day delivery one arrives but now the other wont be here till 9th november @115830 https://t.co/EGJVgd8db2,"@753201 Hi, were they split into 2 x shipments in your order confirmation email? Has the date changed from the one provided? ^TS",Tue Oct 31 13:39:33 +0000 2017,Tue Oct 31 13:42:09 +0000 2017,I01_order_delivery,NO,None — safe to handle
G066,972621,"@AmazonHelp Not only am I not getting my Air Purifier on Sunday (when I needed it), I now have this crap to deal with. Thanks for that, BTW.",@350706 A bank won't tell us why a card has declined. Have you tried another card? ^PK,Sat Oct 14 06:49:06 +0000 2017,Sat Oct 14 06:57:00 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G067,1973335,@AmazonHelp I ordered an item no:1__credit_card__ at the time of order it showed me different price and now different,"@584423 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​3/3 ^NK",Wed Oct 18 17:42:38 +0000 2017,Wed Oct 18 17:59:26 +0000 2017,I06_payment_billing,YES,Sensitive account/payment issue
G068,2074019,Amazonのミスで勝手に返品された品の返金が来ないから電話したらコンビニ払いで口座指定もしてないのにもうクレジットのところに返金しましたとか言われて今日見に行ったらやっぱり返金されてなかった,@613403 ご返金についてご不便をおかけしております。カスタマーサービスにて再度確認させていただきますので、こちらのリンクよりお問い合わせください。https://t.co/NtNAX37Sr4 ET,Wed Nov 08 08:52:59 +0000 2017,Wed Nov 08 09:09:00 +0000 2017,I04_refund,YES,Sensitive account/payment issue
G069,2975728,@AmazonHelp こんにちは。Android版kindleをアップデート後、起動しなくなってしまいました。「問題が発生したため、Amazon Kindleを終了します」と出ます。端末再起動とアプリの再インストール以外に、こちらで試せる対処法がありましたらご教授ください。Android4.4.2、kindleアプリは8.0.0.78です。,@820683 ご案内が重なり恐縮ですが、タスク管理系アプリやブルーライト軽減フィルターなどの常駐アプリがある場合には一時的に停止して改めてお試しいただけますでしょうか。問題が解決しない場合は、以下リンクよりカスタマーサービスへお問い合わせください。　https://t.co/J6YEizo6qC ET,Thu Nov 16 07:25:27 +0000 2017,Thu Nov 16 07:30:25 +0000 2017,I10_general_information,NO,None — safe to handle
G070,297299,@AmazonHelp Social media escalation team is sham @115850 @115821 &amp; ATS team believe themselves as Gods providing fake updates &amp; none to question them,@186821 I understand your concern. Could you please confirm if you had shared the details through the secure link provided earlier? ^AP,Tue Oct 31 04:22:14 +0000 2017,Tue Oct 31 04:38:27 +0000 2017,I11_other_unclear,YES,Complex issue requiring human intervention
G071,1689315,@115850 @AmazonHelp Today you have lost another customer. Fed up of your delivery standards. No commitment from customer service too.,@512912 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Tue Oct 17 16:27:40 +0000 2017,Tue Oct 17 16:56:27 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
G072,2767535,"dear @AmazonHelp i have not got my order but in tracking it is showing delivered and your customer care executive is saying that order is back, who is responsible ? https://t.co/n0lwAXWWDD","@773891 Apologies for the experience you had with this order. Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^JS",Tue Nov 21 10:59:36 +0000 2017,Tue Nov 21 11:22:25 +0000 2017,I02_missing_package,YES,Complex issue requiring human intervention
G073,115840,Me pregunto cuántas horas serán 24 horas para los de @116875 🤔🤔🤔,"@141793 Hola, Serch. Sin compartir información de tu cuenta, dime, ¿tienes problemas con algún pedido actual? ^CR",Thu Nov 23 21:48:21 +0000 2017,Thu Nov 23 21:53:00 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G074,1772665,Well...good to know @115821 cares enough about my bluray to ship it in a bag. I didn't need the halves of the case connected anyway... https://t.co/bB9NVADGr5,@532780 Oh no! I'm so sorry to see this. Have you had a chance to pass your feedback on here: https://t.co/TH7UAFZey5? 1/2,Wed Nov 08 01:55:16 +0000 2017,Wed Nov 08 02:09:00 +0000 2017,I05_wrong_damaged_item,NO,None — safe to handle
G075,2766438,@AmazonHelp Is there a contact number to use to speak to someone? I'm locked out of my account and the email address attached has been hacked. I'm paying for prime I can't use &amp; I have 100s of books on my kindle I don't want to lose. I've emailed twice with no reply. Thanks.,@773655 i am really sorry to hear that and can imagine it has caused a great deal of stress and frustration. Please contact us on the following link so we can look into this for you  https://t.co/zYVX1Qi29G ^SM,Tue Nov 21 09:50:31 +0000 2017,Tue Nov 21 09:59:00 +0000 2017,I07_account,YES,Sensitive account/payment issue
G076,1456356,@AmazonHelp ok i will wait for your call..,@458029 Thanks a lot for your patience throughout. ^KS,Thu Nov 02 19:55:57 +0000 2017,Thu Nov 02 20:05:00 +0000 2017,I11_other_unclear,NO,None — safe to handle
G077,313716,Amazonがぁぁぁぁ https://t.co/vxBnxGVDku,@190906 ご不便をおかけしております。アプリが正常に起動しない場合、端末再起動やアプリの再インストールをお試しください。アプリにて閲覧ができない場合、ブラウザからの接続をお願いいたします。HM,Sat Oct 07 05:14:32 +0000 2017,Sat Oct 07 05:30:50 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G078,2387887,@AmazonHelp I have just done that and it's telling me I've been a member since December 2016! But only just had one payment taken. Please tell me how I'm to get a refund....,"@688072 Hey Leigh, as we do not have access to personal information here can you please contact us: https://t.co/0SlzLU4Pvh ^BD",Tue Nov 14 08:13:56 +0000 2017,Tue Nov 14 08:26:00 +0000 2017,I08_prime_subscription,YES,Sensitive account/payment issue
G079,842209,@320324 My pre-order of your book was cancelled by @AmazonHelp with no explanation! Has something gone wrong?,@320323 I'm so sorry to hear this. Please reach out by phone so we can investigate this with you: https://t.co/qy3J24VGxb ^GR,Fri Oct 20 13:49:52 +0000 2017,Fri Oct 20 13:55:33 +0000 2017,I09_cancellation_modification,YES,Complex issue requiring human intervention
