example_id,customer_text,golden_customer_tweet_id,top_similarity,retrieved_customer_text,retrieved_support_text
G011,某アニメのDVD-BOXをAmazonで購入手続きしました。予算をケチるために中古DVDを選択しました。何を買ったかは、届いてからのお楽しみ…,469396,0.0,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G012,@AmazonHelp The one item shipped from China! Seller claims we chose standard.  Why would we voluntarily take a slower shipping when prime is free?,1268304,0.22176110094522875,@AmazonHelp  is it coming from China? https://t.co/FI7BFKSdjG,@337608 That's strange. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 for assistance? ^GD
G013,"@AmazonHelp Danke, ich versuchs mal.",2500709,0.9190781152983214,"@AmazonHelp Danke, das versuche ich mal ❤","@706755 Super! Viel Erfolg! ^SM &amp; ^TA
...doppelt hält wohl besser 🖤"
G014,@115821  is bs my order was supposed to be here yesterday and they extended my expectation date until the 19th wth,1203375,0.47238041428720906,@AmazonHelp It was supposed to be here yesterday .,@621230 We aim to deliver by the date given in your order e-mail. What does the latest tracking show? https://t.co/aaDyEz1VgE ^TK
G015,@AmazonHelp Prime is advertised as next day. I’ve historically had weekend delivery from you. @117795  still delivers in under 2 hours!,836845,0.32894412209912577,@AmazonHelp Since when? It was always advertised as free next day delivery.,@140848 You can see more about how delivery dates are calculated here: https://t.co/LXzjDIGscA. I hope this helps! ^CS
G016,@115821 why did y'all delay the delivery date of my package omg,911231,0.31928132373077783,@AmazonHelp I did all of that...,@165088 Who was the carrier listed for this order here: https://t.co/Y5jpI9gRhE ? Please let us know! ^LB
G017,@115821 How are the winners decided?,2488528,0.5104292482627868,@115850 @115851 @11999 Who all are the winners?,"@184859 Hey, winners will be announced by 10th September. Kindly wait till the same. We appreciate your patience. ^VN"
G018,"@AmazonHelp Checked with @416512, there's no way to turn the subtitles off, so when watching with headphones? A truly annoying experience!",1266302,0.2522908394640842,@117634 is there a way to turn the brightness up on my app?,@182937 Thanks for reaching out to us! Please adjust the brightness via your display settings on your device. ^RA
G019,@115850 I m happy because the 1 st time product of amazon recived in my smallest village today https://t.co/FfDj0Ivm4f,1258196,0.27226533987600937,@AmazonHelp special extra gift in my delivery today 🤔🤔🤔 https://t.co/SCPpXN3zGR,"@311356 Whoa!  I agree, that's not what we expect with your delivery!  Are any of your items damaged?  Let us know.  ^MW"
G020,"@115850 order 403-7687017-1505112 not delivered. Delivery boy lied, no one contacted me. I don't have product, can't cancel. Money lost.",717631,0.37964886436160356,@AmazonHelp No one contacted me yet,@219957 We've emailed you here: https://t.co/DTSNmGldJf Kindly check and write back to it for further assistance. ^SY
G021,@AmazonHelp The team picked up the return package. Thank you!,674323,0.38971502861473184,@AmazonHelp Not frustrated at all 😂 i looked up the return policy. Thank you.,"@736496 Cool, we are here if you need any help ^BZ"
G022,"@115850 ORDER # 403-0276244-3459531 your automated call  comes to informm that u can pay by net banking or by card at delivery time and delivery guy ask only ""CASH"" what a nonsense service",2718459,0.2985418957561988,@115850 Order# 403-0139997-5220342,"@551075 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK"
G023,@AmazonHelp My delivery was supposed to be here between 4-6pm Yesterday. It’s been over 24 hours already and still nothing. Really bad first experience. Hope I get this by tomorrow if not I rather cancel and go to Walmart.,1756782,0.37541377548019317,@AmazonHelp It’s been over 24 hours,"@499175 I'm so sorry you haven't received a reply yet, Thomas! Please use the link previously provided by BA to contact via phone/chat. ^CN"
G024,@AmazonHelp Replied please check,917010,1.0,@AmazonHelp I replied please check,@119796 Thanks for the heads up. We'll look into it and get back to you soon. Appreciate your patience. ^MO
G025,"@AmazonHelp I'll expect contact by this evening at the latest, as per the 12 hour promise on the two forms I have completed. I'd still like to make a proper complaint though and would like to know how I do this without more delay and let down. Thanks.",1387200,0.25379123054840075,@AmazonHelp I’d like to but wouldn’t know how or where to do this,@391237 You can contact our costumer service via the following link:  https://t.co/hgIrz98cdI ^BR
G026,Bro. I ordered something from Amazon and forgot to change the adress and it shipped to my house in Jersey...hdjsksnspwlwjslowjslekee dndbdndn,2308090,0.3652434482415853,Ordered something from Amazon and it was missing a part🙄,@214325 Sorry your order wasn't complete! Was it shipped by Amazon or third-party seller as seen here: https://t.co/Y5jpI9gRhE? ^JM
G027,@115830 really?? Is this huge box appropriate to send me my teeny weeny earring backs? An envelope will do next time! https://t.co/gDR5tH16uf,1502886,0.3243267933008076,This huge box for one metal pole @115821 https://t.co/XNUPWiFU3T,@396101 Oh no! We're always looking for ways to improve our packaging! Feel free to leave feedback here: https://t.co/qxDheJA8pY ^ME
G028,@115850 Thanks for acknowledgement of my issue. I have given detail on link provided.,249765,0.37449160936643827,@AmazonHelp I have given the details on the link provided!,@215582 Thanks for sharing your details. We'll get in touch with you soon. ^AK
G029,@AmazonHelp are your delivery drivers allowed to just enter my house without permission @35946 really quite angry about this.,1670311,0.30433807461179163,@115830 disgusted that one of your  delivery drivers entered my house.. angry is an understatement,@288993 Sorry for the trouble. We want to have our specialists look at this. Please give details here: https://t.co/nNhCP1GKoo ^MH
G030,@AmazonHelp プライムビデオたのしいよ、ありがとうね,1996319,1.0,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G031,"@AmazonHelp I have checked, just annoyed that I'm paying for Prime &amp; my package is late. My order's been out for delivery since 10:30 yesterday morning. https://t.co/AntsGAxO5i",815575,0.38022346399224655,@AmazonHelp ????? Was out for delivery yesterday morning??????? https://t.co/AiNlHlo7DU,"@499339 I'm sorry for the delay! I understand how frustrating it can be have a late order. If the order hasn't arrived by November 28, please let us know: https://t.co/hApLpMlfHN ^LR"
G032,@AmazonHelp @18069 @115851 @118702 Worst service.,348211,0.6196479947556033,@118919 worst service,@202188 That's quite a remark! Could you let us know what went wrong? We'd like to look into it. ^HD
G033,@AmazonHelp I have the latest version of the application available in play store.  But the your voice option is not there,1526897,0.3876746279111687,@AmazonHelp yes.  i'm on the latest version of the app.,@447895 I understand. Have a look here:https://t.co/5wQEYI3n8T. It should list the location for your area. Hope this helps! ^SK
G034,@AmazonHelp Just changed over to prime video,2686393,0.4030883231953762,@116875 Tendremos prime video?,"@277302 Hola, Lalo. Sin darnos información de tu cuenta, ¿podrías por favor indicarnos cómo podemos ayudarte? ^CB"
G035,@115821 trying to buy this watch and the order doesn’t go through so i wait till i get home to order and it goes up in price by £85. Just been on phone for 20mins to customer support and they haven’t helped at all. Please tell me why this? https://t.co/Mi6GlAT7Qr,649644,0.2656093267897658,@115830 @AmazonHelp trying to order this PS4 deal but once I add it to my basket it goes up in price?🤔 https://t.co/keCPMRXrQC,"@149466 Hi Jack, that deal looks to be over I'm afraid: https://t.co/L9qvdW6IKd ^TS"
G036,@AmazonHelp Amazon,295888,1.0000000000000004,@AmazonHelp Amazon,@140409 Thanks for the information! Have you had the chance to set up a safe place for your deliveries? You can learn more by visiting us here: https://t.co/WU6vGBZGLr ^TK
G037,@AmazonHelp Still same. https://t.co/yudhg0rUuF,1733094,0.6622162304984611,@AmazonHelp Still the same. https://t.co/bGw8uxVjgF,"@507530 Hi, if the tracking hasn't been updated we would expect the order to arrive when stated. Please keep us posted. ^JJ"
G038,@AmazonHelp Alors c'est TNT livraison.,447214,0.5318250140061498,@AmazonHelp TNT !,@263838 Je vous prie de le signaler à l'équipe en charge via ce lien   https://t.co/hgIrz98cdI ^SN
G039,"@AmazonHelp I already filled the form and i want my money refunded either today or tomorrow. I don't care how you will do that. Otherwise i will file a complaint against you that you for doing fraud with customers.
@115850 @115821 https://t.co/moviRCARcy",2824028,0.33553702589846957,@AmazonHelp Already i filled the form.,@199339 Thank you for the confirmation. We'll get back to you at the earliest. ^SU
G040,@AmazonHelp Of course I have!,29500,0.9783514460396405,@AmazonHelp Of course,@207106 What have you been advised in the past? ^MC
G041,@AmazonHelp @152011 DEAR AMAZONE FIND THE ORDER NO.-403-79045985510732 WHAT IS ISSUE ABOUT PARCEL RETURN TO UR END AND CONTAIN MOBILE IS REC AT UR LOACTION . IN YOUR WAREHOUSE TOTALLY THIEF AND LYING STAFF.WHERE IS MY MOBILE???HOW MANY DAYS MY MOBILE GET IT BACK ON ARGENT BASIS.,156810,0.987247689756877,@115850 DEAR AMAZONE FIND THE ORDER NO.-403-79045985510732 WHAT IS ISSUE ABOUT PARCEL RETURN TO UR END AND CONTAIN MOBILE IS REC AT UR LOACTION . IN YOUR WAREHOUSE TOTALLY THIEF AND LYING STAFF.WHERE IS MY MOBILE???HOW MANY DAYS MY MOBILE GET IT BACK ON ARGENT BASIS.,"@152012 That's unusual, we'd like to look into this and see what went wrong. Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SP"
G042,@AmazonHelp have a good weekend,1539228,0.4486516828685342,"@AmazonHelp PC version is fine, don't know what happened to mobile. Cheers, have a good weekend 👍🏻💃🕺🇯🇵",@662535 Glad the subtitles are working now! Let us know if you'd like us to take a closer look into why they weren't working on mobile. We'll be here! ^MB
G043,"@115821 filed a police report for the fake laptop you sent me and forwarded the copy of the report per your instructions... Get an email back calling the report ""invalid"". Guess the Columbus OH Police Department is fake too... #Amazon #fail",2960422,0.3047570320663413,@AmazonHelp It's now a police matter. You could check the police report.,"@116913 I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: https://t.co/DFWr7dqiz5 ^SB"
G044,@AmazonHelp @115850 this is the third time its happening your delivery agents are not responding and even the customer service is worst.,427310,0.34385297920784885,@AmazonHelp Yup and this is the third time,@121471 I'm sorry to hear this! Does this tend to happen with a certain carrier? Keep us updated! ^AB
G045,@AmazonHelp Per ordered the #XboxOneX Scorpio back on 20th Aug &amp; it still not been delivered although been promised it will be here yesterday &amp; today. It's just got good enough. I had a failed delivery today to a work address even though it's a manned reception and Otter parcels made it,2176564,0.25193370770502094,@AmazonHelp Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!,"@118232 Just to confirm, what's the current tracking information listed for your order here: https://t.co/aaDyEz1VgE ^HC"
G046,@116090 r u thinking us fool.I am waiting for my order from 15 days and still waiting for ur answer...,1496042,0.4234658470305618,@AmazonHelp Still waiting for ur response!,@491543 You could check for the same here https://t.co/8DAc10S7ww. ^VM
G047,@AmazonHelp @115850 @AmazonHelp @115850 should've ordered from @118702,1096768,0.46144944583991143,@AmazonHelp .@115850 @AmazonHelp ?????????????????????????????????????????????????????????????????????,"@119350 If the details are provided from the link provided, you should have received a correspondence here: https://t.co/DTSNmGldJf ^BS"
G048,"@115817 @115821 Yeah it’s ok. UPS driver on my route must have a problem with me for some reason.  I don’t know why, all I do is pay his salary.",324169,0.24717028022655846,@AmazonHelp Y’all finessed me for some amazon prime,"@777912 Did the Prime membership auto-renew after the 30-day free trial? If you wish to cancel your Prime membership, it can be done anytime here: https://t.co/MR9gIzjQ08 Hope this helps! ^SK"
G049,"@AmazonHelp &gt; option for the call ever, ever ending. I'm now very upset and angry. Since your staff won't tell me - how do I make a formal complaint?",929632,0.4555861163237748,@AmazonHelp This employee lied to me. How do I make a formal complaint? https://t.co/8BbBYep2R7,"@307715 When you have time, send the details to us here: https://t.co/JzP7hlA23B. We can make sure this is escalated.  ^EP"
G050,@AmazonHelp And I'm on the phone with you guys right now. :),89108,0.44698080044244715,"@AmazonHelp I'm on the phone with a manager at Amazon right now. Thanks for the response, though.","@604733 Thanks for letting us know! If you need anything else, please let us know!  ^AG"
G051,"@AmazonHelp @133260 Compre el lunes un regalo para el viernes con el premium (que en teoria tarda 1 dia), y hoy, VIERNES, aun no ha llegado y ni siquiera se si va llegar hoy o el año que viene. Num seg:UX58R6__credit_card__E",472484,0.33979564036690696,@AmazonHelp ¡El viernes que viene! Y sí que lo estoy :D,@189593 ¡Genial! Avísanos cuando te llegue para compartir tu alegría. 😄^JD
G052,My new phone cases didn’t come today like they were SUPPOSED TO @115821 so now I’m crying in the club,1714276,0.36853808235207053,My slippers didn’t come in today like they said they would :( @115821 wtf,@214061 I'm sorry for this wait. Have you received a delivery update for your order? ^DO
G053,"@AmazonHelp Hi again, I just opened up the Amazon app and it showed the same thing again about revising my payment method, it keeps happening for the same item too.",2265595,0.2581371437248794,"@AmazonHelp I have checked it many times, dont send me the same thing again n again",@458033 I kindly request you to share your insight by sending a reply to the last email sent by our team for further assistance on this issue. ^RI
G054,"@AmazonHelp Thanks for the reply. I tried this once , the guy told me over the call that it will be fixed in 1hr on Thursday. But yet to happen.",1540510,0.3496438532053737,@AmazonHelp Thanks for the reply.,@143384 It's our pleasure. Please let us know if there's anything else that we can do to assist. We're here to help.  ^FJ
G055,Je cherche un contact chez @120533 ? En mp,755034,0.5405421163686721,@AmazonHelp En MP! 😡,"@381540 D'accord, nous sommes à votre disposition. ^FA"
G056,"@AmazonHelp your locker in Perivale, #AmazonHarp is still not working. When will you fix this? It still seems to be taking deliveries https://t.co/vj3Ue2rmaf",2031057,0.4011805923910357,@AmazonHelp It's still not working,@218357 Please reach out to us directly for some real time troubleshooting here: https://t.co/hApLpMlfHN. ^CE
G057,"@115850 Order id is 408-6158338-6870754

Want the product before the delivery date.

Kindly Help.",2484002,0.38061557704796956,@115850 Order Id 408-9117041-9591516 .,@403542 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this.1/2 ^HN
G058,@116313 1冊目はすでにボロボロになってしまったので！ https://t.co/0HQ9n17vwj,457760,0.9999999999999998,二つ注文したら違うカバーできた。ありがたい👍 @116313 https://t.co/6IlrpyDY32,@147585 https://t.co/st4oU5QbhPをご利用いただき、ありがとうございます😊✨ RI
G059,"@AmazonHelp Someone placed order on Amazon with ""From &amp; To"" name of my friend and delivery address same as sender n recipient.",304615,0.2303571524846928,@115821 How can my friend and I share our purchased movies on Amazon without giving out the user name/password for our respective accounts?,"@415977 Great question, Cody! Here's how you can share purchased movies without comprimising your security: https://t.co/9WEu63we1E ^FD"
G060,@AmazonHelp Still nothing yet.,1665804,0.7557920361929044,@AmazonHelp Still nothing,"@116058 Hi, we'll be in touch with an update as soon as possible. Apologies for the wait. ^TS"
G061,@AmazonHelp I would really like to know if I should just expect more four day turn arounds in the future for Prime.,856605,0.3374291569437227,@115830 Hi folks. I would really like to know why you took £7.99 the pst two month although I'm not a prime member.,"@690601 Apologies- We do not have access to account info here, please reach out-  https://t.co/JzP7hlA23B we'll be happy to investigate^TP"
G062,@115850 terrible customer care experience today.... Rude and ill mannered executives and supervisors. They don't really help the customer.,802381,0.29978345749512,@AmazonHelp The customer care executives are so rude,@205809 Sorry to know that. Please share all your concerns on the link mentioned above and we'll work on it. ^PS
G063,@AmazonHelp Any reason why I haven’t received my packages yet?,723311,0.6607701843760956,@AmazonHelp Any reason why?,"@626879 Sorry for the worry! Packages can be shipped out anytime prior to, or on, the delivery date. You should see the package be sent out either later tonight or early tomorrow. You can check the most up to date status of your order here:  https://t.co/Y5jpI9gRhE ^GS"
G064,"@4774 sold an iPhone to a buyer who requested return &amp; returned phone with different IMEI. Apple confirmed the phone was not the same, and had also been tampered with. @115821 is taking the buyer’s side. I’m out $600! What can I do? What are my rights? @AmazonHelp",80750,0.23290311895078253,"@AmazonHelp Additionally, Apple suggested I file a police report since the phone I received was not only a different phone, but they verified it had been tampered with (ie, taken apart and reassembled)",@133915 We'd like for a member of our team to look further into this with you and get this escalated. Please give us your detailed information here: https://t.co/FpaDTFlr2U ^KJ
G065,When u order 2 items for next day delivery one arrives but now the other wont be here till 9th november @115830 https://t.co/EGJVgd8db2,2675964,0.3084468753131192,"Order a birthday present on prime delivery the 1/11 to get a notification it wont be here till next week, 7/11 #CheersGuys! @AmazonHelp",@453513 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/B7EoRaGatj? ^KP
G066,"@AmazonHelp Not only am I not getting my Air Purifier on Sunday (when I needed it), I now have this crap to deal with. Thanks for that, BTW.",972621,0.2841587982539343,"Minimum Order Quantity? Really @115850? Even after paying for Prime, I have to deal with this crap? 😒 https://t.co/kFoArEYh1l","@495666 Could you please let us know, for which product you're finding this minimum order quantity? ^PJ"
G067,@AmazonHelp I ordered an item no:1__credit_card__ at the time of order it showed me different price and now different,1973335,0.2520007106444075,@AmazonHelp also different price on the app,"@148230 Hi there, Could you please provide more information so we can help? ^HS"
G068,Amazonのミスで勝手に返品された品の返金が来ないから電話したらコンビニ払いで口座指定もしてないのにもうクレジットのところに返金しましたとか言われて今日見に行ったらやっぱり返金されてなかった,2074019,0.0,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G069,@AmazonHelp こんにちは。Android版kindleをアップデート後、起動しなくなってしまいました。「問題が発生したため、Amazon Kindleを終了します」と出ます。端末再起動とアプリの再インストール以外に、こちらで試せる対処法がありましたらご教授ください。Android4.4.2、kindleアプリは8.0.0.78です。,2975728,1.0,@AmazonHelp 最近「amazon ご注文の確認」というサブジェクトの迷惑メールが多数届くのを確認しておりますが、この件についてはすでにご存知でしょうか。,@198850 Amazonや他企業の名を騙るフィッシング詐欺が増えており、当サイトではヘルプページで注意喚起をおこなわせていただいております。当サイトのEメールかどうかの識別についてはこちらをご参照ください。https://t.co/xWXio7AP2Z  SM
G070,@AmazonHelp Social media escalation team is sham @115850 @115821 &amp; ATS team believe themselves as Gods providing fake updates &amp; none to question them,297299,0.5046280216082785,@AmazonHelp Social media escalation team joins the race in providing pathetic service &amp; no resolution @115850 competing with ATS and Leadership team.,@186821 I'm sorry about any inconvenience. Could you confirm if you've shared your details in the link provided earlier? ^HD
G071,@115850 @AmazonHelp Today you have lost another customer. Fed up of your delivery standards. No commitment from customer service too.,1689315,0.2954540217211889,@115850 Has anyone else too experienced the pathetic customer service from Amazon? Fed up of playing hide and seek with my order!,"@384242 I'd like to take a closer look into this, please share your details on the link here: https://t.co/GIJyeYqKE0. 2/2 ^PS"
G072,"dear @AmazonHelp i have not got my order but in tracking it is showing delivered and your customer care executive is saying that order is back, who is responsible ? https://t.co/n0lwAXWWDD",2767535,0.3660148639285362,@AmazonHelp My order is loss who is responsible amazon.in,@491795 Apologies for the unpleasant experience. Did you report this to our support team using the link shared earlier ? ^AS
G073,Me pregunto cuántas horas serán 24 horas para los de @116875 🤔🤔🤔,115840,0.44573648626374424,Chulada el servicio de @116875 entregas en menos de 24 horas. #Granservicio,@760162 Hola Fernando. ¡Corremos para entrar lo más rápido posible!🏃📦 Nos alegra mucho saber que ya recibiste tu pedido. Esperamos que lo disfrutes ^HC https://t.co/Bwv0u2nKT5
G074,Well...good to know @115821 cares enough about my bluray to ship it in a bag. I didn't need the halves of the case connected anyway... https://t.co/bB9NVADGr5,1772665,0.35152920196383663,"@AmazonHelp Ooh thanks, good to know!",@219496 You're welcome. We also always appreciate hearing your feedback on how we can improve packaging: https://t.co/pdwQPbZvxz ^MB
G075,@AmazonHelp Is there a contact number to use to speak to someone? I'm locked out of my account and the email address attached has been hacked. I'm paying for prime I can't use &amp; I have 100s of books on my kindle I don't want to lose. I've emailed twice with no reply. Thanks.,2766438,0.2771958308423681,"I have an email saying Iv taken out prime, but I haven't. Is there a contact number to speak to someone? No money out my bank..  @115830","@404283 This sounds like a phishing attempt, Andy. Here's a link that helps identify and report these: https://t.co/fbnkcIjFru ^EM"
G076,@AmazonHelp ok i will wait for your call..,1456356,0.8072036090793769,@AmazonHelp Ok I will wait for your response,@356323 Thanks for understanding. We'll soon get back to you with an update. ^NK
G077,Amazonがぁぁぁぁ https://t.co/vxBnxGVDku,313716,1.0000000000000002,"amazonの取り合い😼
#猫 #ネコ #ねこ #猫がいる生活 #amazonの箱 #緊張の一瞬 #写真好きな人と繋がりたい #写真撮ってる人と繋がりたい #カメラ好きな人と繋がりたい #ファインダー越しの私の世界 #iphon… https://t.co/oJOq7bC7s8 https://t.co/pEkZaIbcmh",@533144 緊迫した様子が伝わってきますね・・・((;ﾟДﾟ)) TN
G078,@AmazonHelp I have just done that and it's telling me I've been a member since December 2016! But only just had one payment taken. Please tell me how I'm to get a refund....,2387887,0.3503041667940713,@AmazonHelp I have just done that thanks,@520235 Service Denial and we would look into the issue further. 2/2 ^KK
G079,@320324 My pre-order of your book was cancelled by @AmazonHelp with no explanation! Has something gone wrong?,842209,0.2500052779336327,@AmazonHelp No explanation whatsoever,@168011 Were you advised of a new delivery date?^CD
G080,I never expected @115821 @115850 for such a cheap behaviour. Order a product few days ago but they cancelled.  #AmazonGreatIndianFestival,300504,0.30496845516458476,@331697 @115821 Cancelled   @117093 a few days ago because of the same issues. https://t.co/rDlDTuXxM0,@339590 I'm sorry for the troubles with this order! Please contact us by Phone/Chat: https://t.co/hApLpMlfHN so we can help! ^FR
G081,"@AmazonHelp Done (via the ""can't access your account"" link...)",420960,0.40868582229885747,@AmazonHelp done.,"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS"
G082,@AmazonHelp Preload wäre halt toll. Bekommen andere Plattformen ja auch hin ;),1285523,0.3155913076447999,"@AmazonHelp Okay, dann warte ich mal ab... Ein schlichtes entfernen, wie es bei aktiven angeboten ja auch geht, wäre trotzdem wünschenswert.","@274438 Welches Gerät/Betriebssystem nutzt du denn für die App? Ich geb das dann gerne weiter an das Entwicklerteam. Aktuell kann ich es nicht nachstellen, aber bin mir ziemlich sicher, dass es diese Funktion bei mir - Android - vorhanden ist/war. Lieben Gruß ^SM"
G083,"@AmazonHelp I am a regular Amazonian, I request your kind attention and quick resolution. I shall feel grateful.",1652466,0.3072049137833362,"@115850 @13150 @115851 Dear Jeff and CEO Sir, need your kind attention.",@159128 earlier so that I can get back to you. 2/2 ^SH
G084,"@115833 Thanks for your presence in  INDIA, Does this works with ECHO DOT ? 🤔 https://t.co/jzB9yR9Hod",2568517,0.41863309450758746,@AmazonHelp そのＰＣ上のサイトで「設定」「新しいデバイス」「Echo Dot」を何度クリックしても、毎回「試してみよう」というホーム画面に戻ってしまい、いつまでたってもＷｉ－ｆｉ設定ができません！,@255139 ブラウザのキャッシュ、cookieの消去をお試しいただけますでしょうか。解決されない場合は、カスタマーサービスへお問い合わせください→https://t.co/J6YEizo6qC SK
G085,"@AmazonHelp No, just an email saying I’ll get an email with an update. Point is, I got the notification this morn. Surely you knew before 10:26",1495223,0.2951432303292899,@AmazonHelp No I just got an email saying you may miss my delivery promise,"@240951 Thank you for clarifying. Please keep us in the loop on your delivery, we want to make sure you receive your order! ^DW"
G086,Not sure why I even bother paying for @115830 Prime. Waited all weekend for a parcel that was due Friday. Still don’t have it. Online chat service is the worst.,2290496,0.26890046123588796,@AmazonHelp I still don't have it 😭,"@143193 Very sorry to hear you don't have your package yet, Katya. What was the estimated delivery date for the order? You can check here!  https://t.co/hApLpMlfHN ^JD"
G087,"Hey @115821 , if my packages always get delayed, why am I paying for Prime to get 2 day shipping? 🤔",1261105,0.44864717343267385,Hey @115821. Why am I paying for prime and one day shipping just for my packages to arrive a day late? Lmaooo,"@419634 I'm sorry your order is late, Demitri! To confirm, have we missed the delivery date provided here: https://t.co/eC4Z8KYMAg ^LB"
G088,@AmazonHelp Amazon.ca,62158,1.0,@AmazonHelp amazon.ca,"@357766 Thank you for confirming, Emma. We're here to help! What does the current tracking status indicate here: https://t.co/PyACxvY8Qo? Please let us know! ^FD"
G089,@AmazonHelp I m a seller on amazon. Already open a complaint from 20 days. Nobody listens me,739731,0.46710337960694726,@AmazonHelp A seller,@410745 Have you had a chance to look into our A-to-z Guarantee: https://t.co/NnhlWHjKZw? ^DO
G090,Didn't receive prime subscription with #echodot order id 405-6016617-8745100 :( @AmazonHelp @115850,1615508,0.5335711496153942,"@AmazonHelp order ID 405-5153587-4453909,","@348725 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.(2/2)^SV"
G091,@AmazonHelp I am being charged for a Prime subscription on my account that does not and has never existed. I am being told it is because another account has been using my card to pay their subscription but that is a lie and I have had that confirmed many times over,500866,0.2543381193795166,@AmazonHelp Why am I being charged $108+ for a STUDENT prime account??,@778543 Thanks for that information. We're here to help! Please visit us here for further assistance: https://t.co/hApLpMlfHN ^RB
G092,"@115850 @AmazonHelp So many Quiz have PPL taken part in,But I never Saw The Winners List4AmazonPay. Is it Fake Contests #AmazonPayAppQuiz",1000981,0.305680605640666,@AmazonHelp Participated so many contests but i never win..plz Amazon....this time...make me winner,@132732 We wish you all the very best. Keeping our fingers crossed. ^CB
