example_id,customer_text,true_intent,true_escalation,predicted_decision,predicted_escalation,escalation_reason,retrieval_score,draft_reply
G018,"@AmazonHelp Checked with @416512, there's no way to turn the subtitles off, so when watching with headphones? A truly annoying experience!",I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.2522908394640842,@182937 Thanks for reaching out to us! Please adjust the brightness via your display settings on your device. ^RA
G019,@115850 I m happy because the 1 st time product of amazon recived in my smallest village today https://t.co/FfDj0Ivm4f,I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.27226533987600937,"@311356 Whoa!  I agree, that's not what we expect with your delivery!  Are any of your items damaged?  Let us know.  ^MW"
G020,"@115850 order 403-7687017-1505112 not delivered. Delivery boy lied, no one contacted me. I don't have product, can't cancel. Money lost.",I02_missing_package,YES,ESCALATE,YES,Delivery failure or missing package,0.37964886436160356,@219957 We've emailed you here: https://t.co/DTSNmGldJf Kindly check and write back to it for further assistance. ^SY
G021,@AmazonHelp The team picked up the return package. Thank you!,I03_return,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.38971502861473184,"@736496 Cool, we are here if you need any help ^BZ"
G022,"@115850 ORDER # 403-0276244-3459531 your automated call  comes to informm that u can pay by net banking or by card at delivery time and delivery guy ask only ""CASH"" what a nonsense service",I06_payment_billing,NO,ESCALATE,YES,Sensitive account/payment issue,0.2985418957561988,"@551075 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK"
G023,@AmazonHelp My delivery was supposed to be here between 4-6pm Yesterday. It’s been over 24 hours already and still nothing. Really bad first experience. Hope I get this by tomorrow if not I rather cancel and go to Walmart.,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.37541377548019317,"@499175 I'm so sorry you haven't received a reply yet, Thomas! Please use the link previously provided by BA to contact via phone/chat. ^CN"
G024,@AmazonHelp Replied please check,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0,@119796 Thanks for the heads up. We'll look into it and get back to you soon. Appreciate your patience. ^MO
G025,"@AmazonHelp I'll expect contact by this evening at the latest, as per the 12 hour promise on the two forms I have completed. I'd still like to make a proper complaint though and would like to know how I do this without more delay and let down. Thanks.",I11_other_unclear,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.25379123054840075,@391237 You can contact our costumer service via the following link:  https://t.co/hgIrz98cdI ^BR
G026,Bro. I ordered something from Amazon and forgot to change the adress and it shipped to my house in Jersey...hdjsksnspwlwjslowjslekee dndbdndn,I09_cancellation_modification,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.3652434482415853,@214325 Sorry your order wasn't complete! Was it shipped by Amazon or third-party seller as seen here: https://t.co/Y5jpI9gRhE? ^JM
G027,@115830 really?? Is this huge box appropriate to send me my teeny weeny earring backs? An envelope will do next time! https://t.co/gDR5tH16uf,I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3243267933008076,@396101 Oh no! We're always looking for ways to improve our packaging! Feel free to leave feedback here: https://t.co/qxDheJA8pY ^ME
G028,@115850 Thanks for acknowledgement of my issue. I have given detail on link provided.,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.37449160936643827,@215582 Thanks for sharing your details. We'll get in touch with you soon. ^AK
G029,@AmazonHelp are your delivery drivers allowed to just enter my house without permission @35946 really quite angry about this.,I11_other_unclear,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.30433807461179163,@288993 Sorry for the trouble. We want to have our specialists look at this. Please give details here: https://t.co/nNhCP1GKoo ^MH
G030,@AmazonHelp プライムビデオたのしいよ、ありがとうね,I08_prime_subscription,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G031,"@AmazonHelp I have checked, just annoyed that I'm paying for Prime &amp; my package is late. My order's been out for delivery since 10:30 yesterday morning. https://t.co/AntsGAxO5i",I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.38022346399224655,"@499339 I'm sorry for the delay! I understand how frustrating it can be have a late order. If the order hasn't arrived by November 28, please let us know: https://t.co/hApLpMlfHN ^LR"
G032,@AmazonHelp @18069 @115851 @118702 Worst service.,I11_other_unclear,NO,ESCALATE,YES,Serious customer complaint,0.6196479947556033,@202188 That's quite a remark! Could you let us know what went wrong? We'd like to look into it. ^HD
G033,@AmazonHelp I have the latest version of the application available in play store.  But the your voice option is not there,I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3876746279111687,@447895 I understand. Have a look here:https://t.co/5wQEYI3n8T. It should list the location for your area. Hope this helps! ^SK
G034,@AmazonHelp Just changed over to prime video,I08_prime_subscription,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.4030883231953762,"@277302 Hola, Lalo. Sin darnos información de tu cuenta, ¿podrías por favor indicarnos cómo podemos ayudarte? ^CB"
G035,@115821 trying to buy this watch and the order doesn’t go through so i wait till i get home to order and it goes up in price by £85. Just been on phone for 20mins to customer support and they haven’t helped at all. Please tell me why this? https://t.co/Mi6GlAT7Qr,I10_general_information,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.2656093267897658,"@149466 Hi Jack, that deal looks to be over I'm afraid: https://t.co/L9qvdW6IKd ^TS"
G036,@AmazonHelp Amazon,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0000000000000004,@140409 Thanks for the information! Have you had the chance to set up a safe place for your deliveries? You can learn more by visiting us here: https://t.co/WU6vGBZGLr ^TK
G037,@AmazonHelp Still same. https://t.co/yudhg0rUuF,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.6622162304984611,"@507530 Hi, if the tracking hasn't been updated we would expect the order to arrive when stated. Please keep us posted. ^JJ"
G038,@AmazonHelp Alors c'est TNT livraison.,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.5318250140061498,@263838 Je vous prie de le signaler à l'équipe en charge via ce lien   https://t.co/hgIrz98cdI ^SN
G039,"@AmazonHelp I already filled the form and i want my money refunded either today or tomorrow. I don't care how you will do that. Otherwise i will file a complaint against you that you for doing fraud with customers.
@115850 @115821 https://t.co/moviRCARcy",I04_refund,YES,ESCALATE,YES,Sensitive account/payment issue,0.33553702589846957,@199339 Thank you for the confirmation. We'll get back to you at the earliest. ^SU
G040,@AmazonHelp Of course I have!,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.9783514460396405,@207106 What have you been advised in the past? ^MC
G041,@AmazonHelp @152011 DEAR AMAZONE FIND THE ORDER NO.-403-79045985510732 WHAT IS ISSUE ABOUT PARCEL RETURN TO UR END AND CONTAIN MOBILE IS REC AT UR LOACTION . IN YOUR WAREHOUSE TOTALLY THIEF AND LYING STAFF.WHERE IS MY MOBILE???HOW MANY DAYS MY MOBILE GET IT BACK ON ARGENT BASIS.,I03_return,YES,ESCALATE,YES,Serious customer complaint,0.987247689756877,"@152012 That's unusual, we'd like to look into this and see what went wrong. Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SP"
G042,@AmazonHelp have a good weekend,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.4486516828685342,@662535 Glad the subtitles are working now! Let us know if you'd like us to take a closer look into why they weren't working on mobile. We'll be here! ^MB
G043,"@115821 filed a police report for the fake laptop you sent me and forwarded the copy of the report per your instructions... Get an email back calling the report ""invalid"". Guess the Columbus OH Police Department is fake too... #Amazon #fail",I05_wrong_damaged_item,YES,ESCALATE,YES,Serious product issue,0.3047570320663413,"@116913 I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: https://t.co/DFWr7dqiz5 ^SB"
G044,@AmazonHelp @115850 this is the third time its happening your delivery agents are not responding and even the customer service is worst.,I01_order_delivery,YES,ESCALATE,YES,Explicit human request,0.34385297920784885,@121471 I'm sorry to hear this! Does this tend to happen with a certain carrier? Keep us updated! ^AB
G045,@AmazonHelp Per ordered the #XboxOneX Scorpio back on 20th Aug &amp; it still not been delivered although been promised it will be here yesterday &amp; today. It's just got good enough. I had a failed delivery today to a work address even though it's a manned reception and Otter parcels made it,I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.25193370770502094,"@118232 Just to confirm, what's the current tracking information listed for your order here: https://t.co/aaDyEz1VgE ^HC"
G046,@116090 r u thinking us fool.I am waiting for my order from 15 days and still waiting for ur answer...,I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.4234658470305618,@491543 You could check for the same here https://t.co/8DAc10S7ww. ^VM
G047,@AmazonHelp @115850 @AmazonHelp @115850 should've ordered from @118702,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.46144944583991143,"@119350 If the details are provided from the link provided, you should have received a correspondence here: https://t.co/DTSNmGldJf ^BS"
G048,"@115817 @115821 Yeah it’s ok. UPS driver on my route must have a problem with me for some reason.  I don’t know why, all I do is pay his salary.",I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.24717028022655846,"@777912 Did the Prime membership auto-renew after the 30-day free trial? If you wish to cancel your Prime membership, it can be done anytime here: https://t.co/MR9gIzjQ08 Hope this helps! ^SK"
G049,"@AmazonHelp &gt; option for the call ever, ever ending. I'm now very upset and angry. Since your staff won't tell me - how do I make a formal complaint?",I11_other_unclear,YES,ESCALATE,YES,Explicit human request,0.4555861163237748,"@307715 When you have time, send the details to us here: https://t.co/JzP7hlA23B. We can make sure this is escalated.  ^EP"
G050,@AmazonHelp And I'm on the phone with you guys right now. :),I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.44698080044244715,"@604733 Thanks for letting us know! If you need anything else, please let us know!  ^AG"
G051,"@AmazonHelp @133260 Compre el lunes un regalo para el viernes con el premium (que en teoria tarda 1 dia), y hoy, VIERNES, aun no ha llegado y ni siquiera se si va llegar hoy o el año que viene. Num seg:UX58R6__credit_card__E",I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.33979564036690696,@189593 ¡Genial! Avísanos cuando te llegue para compartir tu alegría. 😄^JD
G052,My new phone cases didn’t come today like they were SUPPOSED TO @115821 so now I’m crying in the club,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.36853808235207053,@214061 I'm sorry for this wait. Have you received a delivery update for your order? ^DO
G053,"@AmazonHelp Hi again, I just opened up the Amazon app and it showed the same thing again about revising my payment method, it keeps happening for the same item too.",I06_payment_billing,YES,ESCALATE,YES,Repeated unresolved issue,0.2581371437248794,@458033 I kindly request you to share your insight by sending a reply to the last email sent by our team for further assistance on this issue. ^RI
G054,"@AmazonHelp Thanks for the reply. I tried this once , the guy told me over the call that it will be fixed in 1hr on Thursday. But yet to happen.",I11_other_unclear,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.3496438532053737,@143384 It's our pleasure. Please let us know if there's anything else that we can do to assist. We're here to help.  ^FJ
G055,Je cherche un contact chez @120533 ? En mp,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.5405421163686721,"@381540 D'accord, nous sommes à votre disposition. ^FA"
G056,"@AmazonHelp your locker in Perivale, #AmazonHarp is still not working. When will you fix this? It still seems to be taking deliveries https://t.co/vj3Ue2rmaf",I10_general_information,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.4011805923910357,@218357 Please reach out to us directly for some real time troubleshooting here: https://t.co/hApLpMlfHN. ^CE
G057,"@115850 Order id is 408-6158338-6870754

Want the product before the delivery date.

Kindly Help.",I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.38061557704796956,@403542 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this.1/2 ^HN
G058,@116313 1冊目はすでにボロボロになってしまったので！ https://t.co/0HQ9n17vwj,I05_wrong_damaged_item,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.9999999999999998,@147585 https://t.co/st4oU5QbhPをご利用いただき、ありがとうございます😊✨ RI
G059,"@AmazonHelp Someone placed order on Amazon with ""From &amp; To"" name of my friend and delivery address same as sender n recipient.",I07_account,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.2303571524846928,"@415977 Great question, Cody! Here's how you can share purchased movies without comprimising your security: https://t.co/9WEu63we1E ^FD"
G060,@AmazonHelp Still nothing yet.,I07_account,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.7557920361929044,"@116058 Hi, we'll be in touch with an update as soon as possible. Apologies for the wait. ^TS"
G061,@AmazonHelp I would really like to know if I should just expect more four day turn arounds in the future for Prime.,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3374291569437227,"@690601 Apologies- We do not have access to account info here, please reach out-  https://t.co/JzP7hlA23B we'll be happy to investigate^TP"
G062,@115850 terrible customer care experience today.... Rude and ill mannered executives and supervisors. They don't really help the customer.,I11_other_unclear,YES,ESCALATE,YES,Serious customer complaint,0.29978345749512,@205809 Sorry to know that. Please share all your concerns on the link mentioned above and we'll work on it. ^PS
G063,@AmazonHelp Any reason why I haven’t received my packages yet?,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.6607701843760956,"@626879 Sorry for the worry! Packages can be shipped out anytime prior to, or on, the delivery date. You should see the package be sent out either later tonight or early tomorrow. You can check the most up to date status of your order here:  https://t.co/Y5jpI9gRhE ^GS"
G064,"@4774 sold an iPhone to a buyer who requested return &amp; returned phone with different IMEI. Apple confirmed the phone was not the same, and had also been tampered with. @115821 is taking the buyer’s side. I’m out $600! What can I do? What are my rights? @AmazonHelp",I05_wrong_damaged_item,YES,ESCALATE,YES,Serious product issue,0.23290311895078253,@133915 We'd like for a member of our team to look further into this with you and get this escalated. Please give us your detailed information here: https://t.co/FpaDTFlr2U ^KJ
G065,When u order 2 items for next day delivery one arrives but now the other wont be here till 9th november @115830 https://t.co/EGJVgd8db2,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3084468753131192,@453513 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/B7EoRaGatj? ^KP
G066,"@AmazonHelp Not only am I not getting my Air Purifier on Sunday (when I needed it), I now have this crap to deal with. Thanks for that, BTW.",I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.2841587982539343,"@495666 Could you please let us know, for which product you're finding this minimum order quantity? ^PJ"
G067,@AmazonHelp I ordered an item no:1__credit_card__ at the time of order it showed me different price and now different,I06_payment_billing,YES,ESCALATE,YES,Sensitive account/payment issue,0.2520007106444075,"@148230 Hi there, Could you please provide more information so we can help? ^HS"
G068,Amazonのミスで勝手に返品された品の返金が来ないから電話したらコンビニ払いで口座指定もしてないのにもうクレジットのところに返金しましたとか言われて今日見に行ったらやっぱり返金されてなかった,I04_refund,YES,ESCALATE,YES,No safe historical resolution,0.0,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G069,@AmazonHelp こんにちは。Android版kindleをアップデート後、起動しなくなってしまいました。「問題が発生したため、Amazon Kindleを終了します」と出ます。端末再起動とアプリの再インストール以外に、こちらで試せる対処法がありましたらご教授ください。Android4.4.2、kindleアプリは8.0.0.78です。,I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0,@198850 Amazonや他企業の名を騙るフィッシング詐欺が増えており、当サイトではヘルプページで注意喚起をおこなわせていただいております。当サイトのEメールかどうかの識別についてはこちらをご参照ください。https://t.co/xWXio7AP2Z  SM
G070,@AmazonHelp Social media escalation team is sham @115850 @115821 &amp; ATS team believe themselves as Gods providing fake updates &amp; none to question them,I11_other_unclear,YES,ESCALATE,YES,Serious product issue,0.5046280216082785,@186821 I'm sorry about any inconvenience. Could you confirm if you've shared your details in the link provided earlier? ^HD
G071,@115850 @AmazonHelp Today you have lost another customer. Fed up of your delivery standards. No commitment from customer service too.,I01_order_delivery,YES,ESCALATE,YES,Serious customer complaint,0.2954540217211889,"@384242 I'd like to take a closer look into this, please share your details on the link here: https://t.co/GIJyeYqKE0. 2/2 ^PS"
G072,"dear @AmazonHelp i have not got my order but in tracking it is showing delivered and your customer care executive is saying that order is back, who is responsible ? https://t.co/n0lwAXWWDD",I02_missing_package,YES,ESCALATE,YES,Delivery failure or missing package,0.3660148639285362,@491795 Apologies for the unpleasant experience. Did you report this to our support team using the link shared earlier ? ^AS
G073,Me pregunto cuántas horas serán 24 horas para los de @116875 🤔🤔🤔,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.44573648626374424,@760162 Hola Fernando. ¡Corremos para entrar lo más rápido posible!🏃📦 Nos alegra mucho saber que ya recibiste tu pedido. Esperamos que lo disfrutes ^HC https://t.co/Bwv0u2nKT5
G074,Well...good to know @115821 cares enough about my bluray to ship it in a bag. I didn't need the halves of the case connected anyway... https://t.co/bB9NVADGr5,I05_wrong_damaged_item,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.35152920196383663,@219496 You're welcome. We also always appreciate hearing your feedback on how we can improve packaging: https://t.co/pdwQPbZvxz ^MB
G075,@AmazonHelp Is there a contact number to use to speak to someone? I'm locked out of my account and the email address attached has been hacked. I'm paying for prime I can't use &amp; I have 100s of books on my kindle I don't want to lose. I've emailed twice with no reply. Thanks.,I07_account,YES,ESCALATE,YES,Explicit human request,0.2771958308423681,"@404283 This sounds like a phishing attempt, Andy. Here's a link that helps identify and report these: https://t.co/fbnkcIjFru ^EM"
G076,@AmazonHelp ok i will wait for your call..,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.8072036090793769,@356323 Thanks for understanding. We'll soon get back to you with an update. ^NK
G077,Amazonがぁぁぁぁ https://t.co/vxBnxGVDku,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0000000000000002,@533144 緊迫した様子が伝わってきますね・・・((;ﾟДﾟ)) TN
G078,@AmazonHelp I have just done that and it's telling me I've been a member since December 2016! But only just had one payment taken. Please tell me how I'm to get a refund....,I08_prime_subscription,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.3503041667940713,@520235 Service Denial and we would look into the issue further. 2/2 ^KK
G079,@320324 My pre-order of your book was cancelled by @AmazonHelp with no explanation! Has something gone wrong?,I09_cancellation_modification,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.2500052779336327,@168011 Were you advised of a new delivery date?^CD
G080,I never expected @115821 @115850 for such a cheap behaviour. Order a product few days ago but they cancelled.  #AmazonGreatIndianFestival,I09_cancellation_modification,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.30496845516458476,@339590 I'm sorry for the troubles with this order! Please contact us by Phone/Chat: https://t.co/hApLpMlfHN so we can help! ^FR
G081,"@AmazonHelp Done (via the ""can't access your account"" link...)",I07_account,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.40868582229885747,"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS"
G082,@AmazonHelp Preload wäre halt toll. Bekommen andere Plattformen ja auch hin ;),I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3155913076447999,"@274438 Welches Gerät/Betriebssystem nutzt du denn für die App? Ich geb das dann gerne weiter an das Entwicklerteam. Aktuell kann ich es nicht nachstellen, aber bin mir ziemlich sicher, dass es diese Funktion bei mir - Android - vorhanden ist/war. Lieben Gruß ^SM"
G083,"@AmazonHelp I am a regular Amazonian, I request your kind attention and quick resolution. I shall feel grateful.",I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.3072049137833362,@159128 earlier so that I can get back to you. 2/2 ^SH
G084,"@115833 Thanks for your presence in  INDIA, Does this works with ECHO DOT ? 🤔 https://t.co/jzB9yR9Hod",I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.41863309450758746,@255139 ブラウザのキャッシュ、cookieの消去をお試しいただけますでしょうか。解決されない場合は、カスタマーサービスへお問い合わせください→https://t.co/J6YEizo6qC SK
G085,"@AmazonHelp No, just an email saying I’ll get an email with an update. Point is, I got the notification this morn. Surely you knew before 10:26",I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.2951432303292899,"@240951 Thank you for clarifying. Please keep us in the loop on your delivery, we want to make sure you receive your order! ^DW"
G086,Not sure why I even bother paying for @115830 Prime. Waited all weekend for a parcel that was due Friday. Still don’t have it. Online chat service is the worst.,I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.26890046123588796,"@143193 Very sorry to hear you don't have your package yet, Katya. What was the estimated delivery date for the order? You can check here!  https://t.co/hApLpMlfHN ^JD"
G087,"Hey @115821 , if my packages always get delayed, why am I paying for Prime to get 2 day shipping? 🤔",I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.44864717343267385,"@419634 I'm sorry your order is late, Demitri! To confirm, have we missed the delivery date provided here: https://t.co/eC4Z8KYMAg ^LB"
G088,@AmazonHelp Amazon.ca,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0,"@357766 Thank you for confirming, Emma. We're here to help! What does the current tracking status indicate here: https://t.co/PyACxvY8Qo? Please let us know! ^FD"
G089,@AmazonHelp I m a seller on amazon. Already open a complaint from 20 days. Nobody listens me,I11_other_unclear,YES,ESCALATE,YES,Repeated unresolved issue,0.46710337960694726,@410745 Have you had a chance to look into our A-to-z Guarantee: https://t.co/NnhlWHjKZw? ^DO
G090,Didn't receive prime subscription with #echodot order id 405-6016617-8745100 :( @AmazonHelp @115850,I08_prime_subscription,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.5335711496153942,"@348725 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.(2/2)^SV"
G091,@AmazonHelp I am being charged for a Prime subscription on my account that does not and has never existed. I am being told it is because another account has been using my card to pay their subscription but that is a lie and I have had that confirmed many times over,I08_prime_subscription,YES,ESCALATE,YES,Sensitive account/payment issue,0.2543381193795166,@778543 Thanks for that information. We're here to help! Please visit us here for further assistance: https://t.co/hApLpMlfHN ^RB
G092,"@115850 @AmazonHelp So many Quiz have PPL taken part in,But I never Saw The Winners List4AmazonPay. Is it Fake Contests #AmazonPayAppQuiz",I10_general_information,NO,ESCALATE,YES,Serious product issue,0.305680605640666,@132732 We wish you all the very best. Keeping our fingers crossed. ^CB
G093,@AmazonHelp We have placed an order with 2 day delivery option It's been 5-6 days and still no news about it. We contacted the delivery man on the date of delivery but he didn't came because he was not in that area and the delivery was postponed to next day but still no news of the product,I01_order_delivery,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.3622171915081043,"@143734 Hi, please fill in this link and we will reach out to you as soon as possible:https://t.co/mk7tow11c4 ^CR"
G094,@AmazonHelp I have a question about one of my 1 day air orders and a bit confused on it hopefully you can clarify it for me.,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.37708120708968684,@151347 How can we help? ^WT
