example_id,customer_text,true_intent,predicted_intent,classifier_confidence,retrieval_score,true_escalation,predicted_decision,escalation_reason,draft_reply
G093,@AmazonHelp We have placed an order with 2 day delivery option It's been 5-6 days and still no news about it. We contacted the delivery man on the date of delivery but he didn't came because he was not in that area and the delivery was postponed to next day but still no news of the product,I01_order_delivery,I01_order_delivery,0.1328,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@552388 I understand your concern regarding the delivery of the product. We would like to help you, please drop in your details here: https://t.co/GIJyeYqKE0 and we will look into this. ^AH"
G095,@115821 #AmazonIndia is very fraud Co. They only take money not giving service and not give refund pathetic experience don't buy from this https://t.co/TUOSnA3eqS,I04_refund,I04_refund,0.4177,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@219321 That's a rather negative remark. Could you elaborate on what went wrong? I'm unable to comprehend the issue with the picture ^JC
G106,Voy por el quinto retraso en un pedido de @116928 y sumando... De que sirve tener Premium si no te lo entregan en la fecha que indican?,I01_order_delivery,I01_order_delivery,0.1576,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@674592 Hola, lamentamos el retraso. ¿Qué indica la información de seguimiento de tu pedido? ¿Cuál era la fecha de entrega estimada? ^AV"
G107,"@119356 My Order with Tracking ID 216278212094 has been ""delivered"" as per Amazon.in but I'm clueless about the whereabouts of the parcel. Help ?",I02_missing_package,I02_missing_package,0.3153,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@232646 I'm sorry about the conflicting scan codes. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^GD
G110,"@AmazonHelp @AmazonHelp @115850 @115851 I even haven't got any correspondence for the same. No mail, no call. Failed CX. Really disappointed.",I11_other_unclear,I11_other_unclear,0.1192,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@173988 I'm sorry its taking longer than expected for the issue to be resolved. Our team will reach out with an update shortly. ^EM
G113,@AmazonHelp @115851 @115850 @1560 @3923 @951 @8850 I bought Moto M on @115850 n received defective mobile. No replacement provided . #NoToAmazon #AmazonCheats,I05_wrong_damaged_item,I05_wrong_damaged_item,0.2552,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@383795 Kindly revert to the email sent to you the Social Media team &amp; we'll look into it further. ^EM
G114,@115850 my Order  # 403-4091452-1595547 not delivered but Amazon website show status as delivered on Saturday.pls refund my money as soon as possible.,I02_missing_package,I02_missing_package,0.3519,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@787931 That's strange, Navin. Have your reported this to our support team? If not, you can report this here: https://t.co/R3EfhzgU8B. Also, please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^NK"
G115,"@AmazonHelp Génial, colis perdu, on ne me rembourse pas et demande d’attendre jusqu'au 17 alors que je devais être livré ojd. Au top le sav!",I02_missing_package,I02_missing_package,0.2944,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@219492 Merci de nous tenir informé de la situation, nous restons à votre disposition en cas de besoin.
^SA"
G120,"@115850 I can book samsung j7 prime on amazon , i received a old and scratched phone",I05_wrong_damaged_item,I05_wrong_damaged_item,0.2561,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@133250 Sorry to know you've been having issues with your order. Please provide your details here: https://t.co/beaaDm0muc, we'll investigate and get back to you with an update shortly. ^HS"
G122,"@AmazonHelp But offering 5 dollars instead of finding out where my order is, when it was already half hour late, isn't really what I wanted",I01_order_delivery,I01_order_delivery,0.1524,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@793650 I absolutely understand that can be frustrating. Please use the survey at the bottom of the e-mail we sent after you called in to escalate your feedback directly to our supervisors. You can see all messages from us here: https://t.co/l7px80P1sI 

-Cole O."
G123,@115850 no cost emi during Diwali turned out to pay me whole amount in my current bill cycle. Very frustrating,I06_payment_billing,I07_account,0.1098,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@753302 If you are availing No Cost EMI as a payment option, you'll be only charged the amount you see during checkout. (1/2)"
G124,@115821 locked me out of my prime account for weeks! No solution,I07_account,I07_account,0.3077,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@604264 I'm sorry to hear this! When you spoke with us, did we offer to submit your information over to our Account Specialists? ^KP"
G125,"@115850 6-7 appointment for installation of my delivery, man says he came at 5 and nobody was there",I01_order_delivery,I01_order_delivery,0.1463,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@522508 Apologies for the inconvenience, please share your details here: https://t.co/beaaDm0muc and we'll look into this for you. ^SU"
G129,@722705 @115850 This is the second time I received the stone !! 😐,I05_wrong_damaged_item,I05_wrong_damaged_item,0.2525,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@722073 Apologies for the incorrect product delivered. Kindly fill in the details with the link provided earlier and we'll get this sorted for you. ^PB
G132,@115821 what is the best email to contact you regarding amazon prime? Getting charged but never registered for it?,I08_prime_subscription,I08_prime_subscription,0.3039,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@446936 I'm sorry you were charged unexpectedly! If you'd like to, you can cancel the Prime Membership here: https://t.co/MvunQcMoy9 ^AC"
G134,@AmazonHelp Yes! It suppose to be last Sunday. It was a luggage for today’s flight.,I01_order_delivery,I01_order_delivery,0.1625,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@291408 We're terribly sorry for that! Could you please let us know who the seller and carrier was for this order? ^JD
G135,"@AmazonHelp My instances have been stopped for so many months, that too under free tier. Not sure why u guys charging me",I06_payment_billing,I06_payment_billing,0.2918,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@306980 Sorry, I am not sure what you mean by instances? ^KM"
G137,@115850 Why you guys not crediting the cashback for order I'd 408-3076163-4925152,I06_payment_billing,I10_general_information,0.1134,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@318093 That's odd! Let us help you out here. Please drop your details here: https://t.co/89Q0HAaQBd (1/2) ^VM
G138,@AmazonHelp @115850 there is a major problem with customer support team.. had a quite disturbing experience today...,I11_other_unclear,I11_other_unclear,0.1231,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@206721 Certainly not what you can expect from us. We'd like to help you with the issue. Could you please tell us what happened? ^OS
G141,@AmazonHelp USPS. It's too late. Something I needed by tomorrow. You so easily could have resolved this on Thurs,I01_order_delivery,I01_order_delivery,0.1176,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@339401 I'm sorry we let you down like this! Have you been able to contact USPS for more detailed info: https://t.co/tv8wRgyBkz? ^EP
G143,"@AmazonHelp Pedido hecho el día 24. Fecha prevista en ese momento, martes 28 (teniendo premium). Martes nada y pone que miercoles 29 se entregará. Estamos a 30 y sigue poniendo que entrega prevista ayer. Y en la web de @137864 pone estado ""Paso por plataforma"". Que verguenza",I01_order_delivery,I01_order_delivery,0.1618,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@137862 Hola, lamentamos el contratiempo con la entrega de tu paquete. ¿Podrías comentarnos si has contactado con compañía de transportes para verificar lo que ha sucedido? ^AA"
G145,@115850 Really disappointed @115850 #badcustomerservice asking me to courier the wrong items back! #pathetic,I03_return,I03_return,0.3703,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@181491 Sorry for the trouble with the return of the order. Let us look into it. Please share your (1/3)^HR
G146,"@AmazonHelp No sign of my order. Tracker says damaged and returned to shipper, yet I’ve never seen it. When was it damaged?  When will it arrive.?",I05_wrong_damaged_item,I05_wrong_damaged_item,0.2381,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@116244 When an item is damaged while in transit to your location, it will be returned. A refund will be awarded to you once the item has been returned. ^WM"
G147,"Awful service from @115830 Order not fulfilled, no explaination as to why. Seriously wondering if Prime is worth the money.",I01_order_delivery,I01_order_delivery,0.1446,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@454546 We aim to meet the delivery date provided in your order confirmation e-mail: https://t.co/YnHxGSmFO2 Has the date passed? ^KJ
G148,"@115830 this has happened again, nothing delivered. 
I don't have time to keep making these phone calls. https://t.co/vKpwpbLpvV",I01_order_delivery,I10_general_information,0.1123,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@207292 Sorry to hear about this. Have you looked at this?: https://t.co/5EsZnmVL6H ^PK
G152,".@AmazonHelp haven’t gotten my refund from weeks ago. My order was cancelled, I want my money.",I04_refund,I04_refund,0.4242,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@404247 If your order was canceled it sounds like it might be an authorization: https://t.co/evsPtfzvFW. Have you contacted your bank? ^AF
G153,"Yo @AmazonHelp, I have two packages that were 'delivered' on Weds but no sign. No red slip either. None of my neighbours have them either",I02_missing_package,I02_missing_package,0.3197,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@356376 Hey, sorry to hear that, contact us here:  https://t.co/JzP7hlA23B we can help ^AS"
G154,"It's so hard to deal with #Amazon.com please understand customer's value,  please stop to deal with #AmazonIndia it's bad experience ever https://t.co/VZdKCYwKRD",I01_order_delivery,I01_order_delivery,0.1542,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@191714 I'm sorry the order was not delivered. We'll forward this as a feedback to the concerned department.^RS
G156,"DONT TELL ME A PACKAGE IS DELIVERED TO MY HOUSE WHEN ITS CLEARLY NOT 

I’m so annoyed with Amazon rn",I02_missing_package,I01_order_delivery,0.1169,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@719513 I'm sorry for the poor delivery experience. Who is the carrier of the package? If you're unsure you can check here: https://t.co/Y5jpI9gRhE ^AY
G158,"@AmazonHelp Yes, all of these steps. Apartment complex manager had postal employee look in every parcel pending box and it is nowhere.",I02_missing_package,I01_order_delivery,0.114,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@572257 We'd like to go over your available options, please contact us here: https://t.co/hApLpMlfHN ^CO"
G164,"@115821 Hey, my account was hacked and I can't get in - who do I talk to about this?  I can't even log in to ask about logging in!",I07_account,I05_wrong_damaged_item,0.1096,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@695145 Terribly sorry about your account! Let's get this sorted with you here: https://t.co/GaEQPZTD8r ^JZ
G168,@115821 worst online shopping website. They make false promises to customer and deliver defective products. Worst customer service executive,I05_wrong_damaged_item,I11_other_unclear,0.122,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@306301 That's quite a comment. Let us help you out. Please drop your details here: https://t.co/lwMTF4wonr (1/2) ^VM
G169,@116875 Hice mis pedidos y ahora me bloquearon mi cuenta.,I07_account,I07_account,0.2683,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@756092 Hola Oskr, lamento lo sucedido. ¿Recibiste algún email indicándote la razón de esta situación? ^VL"
G171,@AmazonHelp Your staff on Sundays need training to be nice to customers.,I11_other_unclear,I11_other_unclear,0.1551,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@494044 Sorry to hear that. What did they advise? Also, what is the original issue? We'd like to help. ^PK"
G173,@116875 Me urge soporte técnico y no puedo comunicarme porque pide contraseña que no me reconoce su sistema,I07_account,I07_account,0.2855,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@816570 Hola, lamentamos el inconveniente. ¿Ya intentaste cambiar la contraseña? ^MB"
G174,@AmazonHelp Hi! You never actually did bother following up with me on this. Really not helping your case here.,I11_other_unclear,I11_other_unclear,0.1529,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@652164 Oh no! I'm sorry for the delay in a response! This isn't the kind of experience we want you to have. Just to confirm, have you received any e-mails from us? Please be sure to check junk and spam folders as well, and let us know! ^TG"
G175,"Oye @116875, mi paquete fue robado. AYURA",I02_missing_package,I02_missing_package,0.2966,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@299955 Hola, lamento mucho saber lo sucedido, Jaquabat. ¿El producto era vendido y enviado por Amazon o por un vendedor externo? ^LG"
G176,"@AmazonHelp I go to the link, but it doesn't show me the order.",I07_account,I11_other_unclear,0.1088,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@738142 Can you contact us here: https://t.co/JzP7hlA23B? ^MC
G181,@115830 got my Fast 8 DVD preordered. Pressed play on DVD player get an hour in and it’s ALREADY damaged!!!! https://t.co/NHnVtjWfN6,I05_wrong_damaged_item,I05_wrong_damaged_item,0.257,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@441140 I'm sorry for the disappointing experience, Megan! Let's look into some options together here: https://t.co/gr8HdRgQGi ^FD"
G182,"@AmazonHelp Everytime the same thing, check the records i have contacted through Twitter many times . Even i have filled the forms twice or thrice now",I11_other_unclear,I11_other_unclear,0.1477,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@171316 We apologize for the trouble you've experienced. However, we haven't received the details yet. (1/2)^RS"
G184,"Worst courier services in the market @115821  amazon transportation services, please contact seller,ask for other services other than ATS.",I01_order_delivery,I01_order_delivery,0.1489,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@198898 I'm sorry to hear this! We would like to look into this futher. Please contact us here: https://t.co/JzP7hlA23B ^AC
G190,@115821 yoy guys dont care your customre i give to order for my book if you have not in stock so infrm me first of all but no you take my full mony than today you send me msg for cancell my book order 😡 https://t.co/oBrhgUr74q,I09_cancellation_modification,I09_cancellation_modification,0.3964,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@810670 Unfortunately the canceled order cannot be re-instated. I'll surely forward your comments to the teams internally so they can look into it. (2/2)^HR
G191,"ORDER # 206-8387037-4784361 STILL not fulfilled. Unsuitable packaging, Broken packaging, Missing order.  @115830 @AmazonHelp",I05_wrong_damaged_item,I05_wrong_damaged_item,0.2369,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@229748 I'm sorry for the trouble! W/o sharing acct info, will you elaborate on what's happened? Is this a replacement order? ^PF"
G192,@AmazonHelp This is all I have https://t.co/pWrSms20a9,I11_other_unclear,I11_other_unclear,0.1641,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@485014 In this case it would be best for us to assist you directly. Please reach out to us here: https://t.co/hApLpMlfHN ^LA
G193,"What do you do when @116090 sends you a box of returns instead of a printer? Oh, and with customer information left on it! https://t.co/bQtOXQAPou",I05_wrong_damaged_item,I10_general_information,0.1204,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@664989 Apologies for the mix up. Please get in touch- https://t.co/Q7Ftz6nj80 we'll be happy to look into this further. Keep us posted^TP
G194,"@115850 your services are degrading day by day right from delivery to returns. 
Delivery people are like local gundas who are very rude.",I01_order_delivery,I01_order_delivery,0.1367,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@463036 That's quite a remark. We'd like to help, could you let us know what went wrong? ^MA"
G197,@115850 the order details in photo attached. Had ordered 4 pcs but recd only 3 pcs till date. When will I receive balance pc? Await reply! https://t.co/l2HAUZFGC1,I02_missing_package,I10_general_information,0.1158,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@753397 I'm sorry about the trouble with your order. We'd like to help, please connect with us here: https://t.co/vlvfJr4nN9 1/2 ^MA"
G199,"@147807
ordered laptop by taking prime membership to be delivered in a day.NOT YET RECEIVED.This is how PRIME MEMBERS are treated. https://t.co/iir8FHmbm8",I01_order_delivery,I01_order_delivery,0.1547,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@294047 here: https://t.co/beaaDm0muc, we'll get back to you soon. 2/2^AP"
